ID	Account Name	Company	Parent Account	Disable	Account Number	Is Group	Root Type	Report Type	Currency	Account Category	Account Type	Tax Rate	Frozen	Balance must be	Old Parent	Include in gross
3000 - Equity - JMIT	Equity	JMIT		0	3000	1	Equity	Balance Sheet	PHP			0	No		0
3100 - Capital Stock - JMIT	Capital Stock	JMIT	3000 - Equity - JMIT	0	3100	0	Equity	Balance Sheet	PHP	Share Capital	Equity	0	No		0
3200 - Dividends Paid - JMIT	Dividends Paid	JMIT	3000 - Equity - JMIT	0	3200	0	Equity	Balance Sheet	PHP	Reserves and Surplus	Equity	0	No		0
3300 - Opening Balance Equity - JMIT	Opening Balance Equity	JMIT	3000 - Equity - JMIT	0	3300	0	Equity	Balance Sheet	PHP	Reserves and Surplus	Equity	0	No		0
3400 - Retained Earnings - JMIT	Retained Earnings	JMIT	3000 - Equity - JMIT	0	3400	0	Equity	Balance Sheet	PHP	Reserves and Surplus	Equity	0	No		0
3500 - Revaluation Surplus - JMIT	Revaluation Surplus	JMIT	3000 - Equity - JMIT	0	3500	0	Equity	Balance Sheet	PHP	Reserves and Surplus	Equity	0	No		0
4000 - Income - JMIT	Income	JMIT		0	4000	1	Income	Profit and Loss	PHP			0	No		0
4100 - Direct Income - JMIT	Direct Income	JMIT	4000 - Income - JMIT	0	4100	1	Income	Profit and Loss	PHP			0	No		0
4110 - Sales - JMIT	Sales	JMIT	4100 - Direct Income - JMIT	0	4110	0	Income	Profit and Loss	PHP	Revenue from Operations		0	No		0
4120 - Service - JMIT	Service	JMIT	4100 - Direct Income - JMIT	0	4120	0	Income	Profit and Loss	PHP	Revenue from Operations		0	No		0
4200 - Indirect Income - JMIT	Indirect Income	JMIT	4000 - Income - JMIT	0	4200	1	Income	Profit and Loss	PHP			0	No		0
4210 - Interest Income - JMIT	Interest Income	JMIT	4200 - Indirect Income - JMIT	0	4210	0	Income	Profit and Loss	PHP	Investment Income		0	No		0
4220 - Interest on Fixed Deposits - JMIT	Interest on Fixed Deposits	JMIT	4200 - Indirect Income - JMIT	0	4220	0	Income	Profit and Loss	PHP	Investment Income		0	No		0
4230 - Unrealized Gain/Loss - JMIT	Unrealized Gain/Loss	JMIT	4200 - Indirect Income - JMIT	0	4230	0	Asset	Profit and Loss				0	No		4200 - Indirect Income - JMIT	0
5000 - Expenses - JMIT	Expenses	JMIT		0	5000	1	Expense	Profit and Loss	PHP			0	No		0
5100 - Direct Expenses - JMIT	Direct Expenses	JMIT	5000 - Expenses - JMIT	0	5100	1	Expense	Profit and Loss	PHP			0	No		0
5110 - Stock Expenses - JMIT	Stock Expenses	JMIT	5100 - Direct Expenses - JMIT	0	5110	1	Expense	Profit and Loss	PHP			0	No		0
5111 - Cost of Goods Sold - JMIT	Cost of Goods Sold	JMIT	5110 - Stock Expenses - JMIT	0	5111	0	Expense	Profit and Loss	PHP	Cost of Goods Sold	Cost of Goods Sold	0	No		0
5112 - Expenses Included In Asset Valuation - JMIT	Expenses Included In Asset Valuation	JMIT	5110 - Stock Expenses - JMIT	0	5112	0	Expense	Profit and Loss	PHP	Other Direct Costs	Expenses Included In Asset Valuation	0	No		0
5118 - Expenses Included In Valuation - JMIT	Expenses Included In Valuation	JMIT	5110 - Stock Expenses - JMIT	0	5118	0	Expense	Profit and Loss	PHP	Other Direct Costs	Expenses Included In Valuation	0	No		0
5119 - Stock Adjustment - JMIT	Stock Adjustment	JMIT	5110 - Stock Expenses - JMIT	0	5119	0	Expense	Profit and Loss	PHP	Other Direct Costs	Stock Adjustment	0	No		0
5200 - Indirect Expenses - JMIT	Indirect Expenses	JMIT	5000 - Expenses - JMIT	0	5200	1	Expense	Profit and Loss	PHP			0	No		0
5201 - Administrative Expenses - JMIT	Administrative Expenses	JMIT	5200 - Indirect Expenses - JMIT	0	5201	0	Expense	Profit and Loss	PHP	Operating Expenses		0	No		0
5202 - Commission on Sales - JMIT	Commission on Sales	JMIT	5200 - Indirect Expenses - JMIT	0	5202	0	Expense	Profit and Loss	PHP	Operating Expenses	Chargeable	0	No		0
5203 - Depreciation - JMIT	Depreciation	JMIT	5200 - Indirect Expenses - JMIT	0	5203	0	Expense	Profit and Loss	PHP	Operating Expenses	Depreciation	0	No		0
5204 - Entertainment Expenses - JMIT	Entertainment Expenses	JMIT	5200 - Indirect Expenses - JMIT	0	5204	0	Expense	Profit and Loss	PHP	Operating Expenses		0	No		0
5205 - Freight and Forwarding Charges - JMIT	Freight and Forwarding Charges	JMIT	5200 - Indirect Expenses - JMIT	0	5205	0	Expense	Profit and Loss	PHP	Operating Expenses	Chargeable	0	No		0
5206 - Legal Expenses - JMIT	Legal Expenses	JMIT	5200 - Indirect Expenses - JMIT	0	5206	0	Expense	Profit and Loss	PHP	Operating Expenses		0	No		0
5207 - Marketing Expenses - JMIT	Marketing Expenses	JMIT	5200 - Indirect Expenses - JMIT	0	5207	0	Expense	Profit and Loss	PHP	Operating Expenses	Chargeable	0	No		0
5208 - Office Maintenance Expenses - JMIT	Office Maintenance Expenses	JMIT	5200 - Indirect Expenses - JMIT	0	5208	0	Expense	Profit and Loss	PHP	Operating Expenses		0	No		0
5209 - Office Rent - JMIT	Office Rent	JMIT	5200 - Indirect Expenses - JMIT	0	5209	0	Expense	Profit and Loss	PHP	Operating Expenses		0	No		0
5210 - Postal Expenses - JMIT	Postal Expenses	JMIT	5200 - Indirect Expenses - JMIT	0	5210	0	Expense	Profit and Loss	PHP	Operating Expenses		0	No		0
5211 - Print and Stationery - JMIT	Print and Stationery	JMIT	5200 - Indirect Expenses - JMIT	0	5211	0	Expense	Profit and Loss	PHP	Operating Expenses		0	No		0
